post,tags
i have table of 8x8 i want to show images or values randomly in jsp  i want to show grid view of images  but i want every time i open that view images to take random values i mean different imgs   <pre><code>public class database extends httpservlet   {  private static final long serialversionuid = 1l;  string firstname; string lname; string email; string contactno; string address; string town; string pincode; string pancard ; string voterid; string f1 f2 f3 f4 s1 s2 s3 s4;  /**  * @see httpservlet#httpservlet()  */ public database() {     super();     // todo auto-generated constructor stub }  /**  * @see httpservlet#doget(httpservletrequest request  httpservletresponse response)  */ protected void doget(httpservletrequest request  httpservletresponse response) throws servletexception  ioexception {     // todo auto-generated method stub }  /**  * @see httpservlet#dopost(httpservletrequest request  httpservletresponse response)  */  protected void dopost(httpservletrequest request  httpservletresponse response) throws servletexception  ioexception  {     connection con = null;     preparedstatement ps = null;     resultset rs = null;     statement st = null;     printwriter pwinsert = response.getwriter();      firstname=request.getparameter( fname );      lname=request.getparameter( lname );      email=request.getparameter( email );      contactno=request.getparameter( contactno );      address=request.getparameter( address );      town=request.getparameter( fname1 );      pincode=request.getparameter( fname2 );      pancard=request.getparameter( fname3 );      voterid=request.getparameter( fname4 );      f1=request.getparameter( firstimgval1 );      f2=request.getparameter( secimgval1 );      f3=request.getparameter( thirdimgval1 );      f4=request.getparameter( forthimgval1 );      s1=request.getparameter( firstimgval2 );      s2=request.getparameter( secimgval2 );      s3=request.getparameter( thirdimgval2 );      s4=request.getparameter( forthimgval2 );       try {           class.forname( oracle.jdbc.driver.oracledriver );           system.out.println( driver  loaded );       }       catch(classnotfoundexception ex)    {           system.out.println( driver not loaded );        }         string url =  jdbc:oracle:thin:@localhost:1521:xe ;       string username =  system ;       string password =  toushif ;     try     {            con = drivermanager.getconnection(url username password);          ps = con.preparestatement( insert into tou1 (mobile lname fname email address) values (          ) );          ps.setstring(1 contactno);           ps.setstring(2 lname);          ps.setstring(3 firstname);          ps.setstring(4 email);          ps.setstring(5 address);            int i = ps.executeupdate();          pwinsert.println(i);           if(i!=0)            {              pwinsert.println( data has been stored );               }          else    {              pwinsert.println( data could not be stored );          }     }     catch(exception e)     {         e.printstacktrace();     }      // todo auto-generated method stub } </code></pre>,java|html|sql|oracle|jsp
putting the comment on a fb page  i am using js sdk to commment on every post which is being posted by any user on my fb page.  i made one app and one fb page. i put some posts on fb page but i am not able to comment on posts. i am using graph api explorer : <a href= https://developers.facebook.com/tools/explorer  rel= nofollow >https://developers.facebook.com/tools/explorer</a> to test the functionality.    i have got the token with extended permission and then i tried :   <pre><code>page_id/feed fields=id from </code></pre>   i got all the posts and then i tried to the comment on a post using :   <pre><code>post_id/comments message= test comment  </code></pre>   i got    <pre><code>{    data : [   ] } </code></pre>   which should instead return the <strong>comment id</strong> of new comment having message test comment.     any help will be highly appreciated !!,javascript|facebook-graph-api|facebook-javascript-sdk|graph-api-explorer
multiple transactions in hibernate  is there any risk to call begintransaction on one session multiple times  i mean for example:<br>   <pre><code>session.begintransaction(); session.saveorupdate(object1); // .... some works session.begintransaction(); session.delete(object2); // ... some other works session.gettransaction.commit(); </code></pre>   <br>i did this and it seems there is no problem (any exception or warning). in fact i want to know what happens when i use transaction in such a way.,java|hibernate
receiving fake path while uploading  whenever the uploading process happens through the browsers rather than ie  the path <br/> belongs to the file from client side systems is showing like  c:/fakepath/x.jpg ..! i tried out lot of<br/> solutions from the web to rectify that  but nothing works..! if anybody successfully tackled this <br/> problem before just send me your solution..!<br/> html code that i used <br/>   <pre><code>&lt;form name= xx   enctype= multipart/form-data &gt; &lt;input type= file  name= up /&gt; &lt;/form&gt; </code></pre>   my java script.. <br/>   <pre><code>alert(document.xx.up.value); </code></pre>   but it is displaying  c:/fakepath/x.jpg  in all browsers except ie.,javascript|html|file-upload
replace the visual studio find results  i m wanting to create a replacement window which displays the find results (and maybe also find symbol results in the future).    preferably i don t want to touch the  find dialog  and would prefer not to do the actual finding myself - just change how it is displayed.    i ve found 3 interfaces i should be able to import - ivsfindhelper  ivsfindscope  ivsfindtarget    any ideas of how i can get started with this,c#|.net|visual-studio-2010|visual-studio|visual-studio-addins
proper technique when passing data between methods  if you have two methods in a model or controller and you want to pass a variable between methods e.g.   <pre><code>def foo   @param = 2   @test = 1   callee   #do something with @test end  def callee   @test += @param end </code></pre>   is it better to use instance variables to do this or regular variables like so   <pre><code>def foo   param = 2   test = 1   test = callee(param  test)   #do something with test end  def callee(param  test)   test += param   test end </code></pre>   thanks in advance!,ruby-on-rails|ruby
qooxdoo generator file name does not show up on errors  i think that i have a syntax error somewhere but the qooxdoo generator does not say in which file .    even with the argument --verbose it just gives the following error    <pre><code>  invalid control character u \n  at: line 7 column 1 (char 117) </code></pre>   the full output    <pre><code>   &gt;&gt;&gt; processing configuration   - warning: ! shadowing job  source  with local one   - warning: ! shadowing job  libraries  with local one  ----------------------------------------------------------------------------     executing: source::source-script ---------------------------------------------------------------------------- &gt;&gt;&gt; initializing cache...     - checking path  /tmp/qx1.6/cache      - using existing directory   - cleaning compile cache  as tool chain has changed     - checking path  /tmp/qx1.6/cache      - using existing directory   - deleting compile cache &gt;&gt;&gt; scanning libraries   invalid control character u \n  at: line 7 column 1 (char 117) </code></pre>   any ideas how to find the where is this error   (which file .),javascript|qooxdoo
how to change the color of a button based on drop down list selection in asp.net web forms   i have a drop down list with a few list items inside it and i have a button and i want to change the color of that button based on the drop down list selection. every selection will give a different color to the button.    i have this <code>selectedindexchange</code> event but is not working:   <pre><code>protected void dropdownlist1_selectedindexchanged(object sender  eventargs e) {     if (dropdownlist1.selecteditem.text ==  jim.rumdner@gmail.com )     {         button1.backcolor = system.drawing.color.blue;     }     else if (dropdownlist1.selecteditem.text ==  alon_gk@netvision.net.il )     {         button1.backcolor = system.drawing.color.green;     }     else if (dropdownlist1.selectedvalue ==  ohad_jl@internet-zahav.co.il )     {         button1.backcolor = system.drawing.color.red;     }     else if (dropdownlist1.selectedvalue ==  nirho_fg@walla.com )     {         button1.backcolor = system.drawing.color.yellow;     }     else if (dropdownlist1.selectedvalue ==  yidhj_ry@yahoo.com )     {         button1.backcolor = system.drawing.color.white;     }     else if (dropdownlist1.selectedvalue ==  kit_ru@hotmail.com )     {         button1.backcolor = system.drawing.color.black;      } </code></pre>   a drop down list:   <pre><code>&lt;asp:dropdownlist id= dropdownlist1  autopostback= true  onselectedindexchanged= dropdownlist1_selectedindexchanged  runat= server &gt;     &lt;asp:listitem value= blue &gt;amir.tuchner@gmail.com&lt;/asp:listitem&gt;     &lt;asp:listitem value= green &gt;alon_gk@netvision.net.il&lt;/asp:listitem&gt;     &lt;asp:listitem value= red &gt;ohad_jl@internet-zahav.co.il&lt;/asp:listitem&gt;     &lt;asp:listitem value= yellow &gt;nirho_fg@walla.com&lt;/asp:listitem&gt;     &lt;asp:listitem value= white &gt;yidhj_ry@yahoo.com&lt;/asp:listitem&gt;     &lt;asp:listitem value= black &gt;kit_ru@hotmail.com&lt;/asp:listitem&gt; &lt;/asp::dropdownlist&gt; </code></pre>   and a button:   <pre><code>enter code here&lt;asp:button id= button1  runat= server  style= background-color:aqua  text= send and receive  backcolor= #ff3399  /&gt; </code></pre>   what can i do to make it work,c#|asp.net|button|drop-down-menu
what error is ajax status code:303  i have a problem. i need your help. when i press on the button  which must work through the ajax  in the network i see 303 see other  which is the problem how can you help me  thanks in advance   <pre><code>var data = {                                     action: video_gallery_ajax                                       task: load_images_lightbox                                       page:pagenum                                      perpage:perpage                                      galleryid:galleryid                                      thumbtext:thumbtext                                      pid:pid                                      likestyle:likestyle                                      ratingcount:ratingcount                             }     jquery.post( components/com_gallery/ajax_url.php  data function(response){                                                                 if(response.success){ </code></pre>   } },javascript|jquery|ajax|joomla
get the number of pages in a word document using aspose  how can i get the number of pages in a word document(.doc or .docx) using aspose java  or maybe get the number of pages in a word document in java without using aspose.,java|aspose.words
